	Rumpun Ilmu	Rumpun Ilmu (Bahasa Inggris)	Pohon Ilmu	Pohon Ilmu (Bahasa Inggris)	Cabang Ilmu	Cabang Ilmu (Bahasa Inggris)
27	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA FISIKA	ENGINEERING-PHYSICAL ENGINEERING	TEKNOLOGI REKAYASA LOGISTIK	LOGISTIC ENGINEERING TECHNOLOGY
28	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA FISIKA	ENGINEERING-PHYSICAL ENGINEERING	TEKNOLOGI REKAYASA ROBOTIKA	ROBOTICS ENGINEERING TECHNOLOGY
29	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA FISIKA	ENGINEERING-PHYSICAL ENGINEERING	TEKNOLOGI REKAYASA INSTRUMENTASI	INSTRUMENTATION ENGINEERING TECHNOLOGY
30	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA FISIKA	ENGINEERING-PHYSICAL ENGINEERING	TEKNOLOGI REKAYASA INDUSTRI OTOMOTIF	AUTOMOTIVE INDUSTRIAL ENGINEERING TECHNOLOGY
31	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA FISIKA	ENGINEERING-PHYSICAL ENGINEERING	INTRUMENTASI DAN METROLOGI	INSTRUMENTATION AND METROLOGY
32	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA FISIKA	ENGINEERING-PHYSICAL ENGINEERING	TATA OPERASI PRODUKSI BAN	TIRE PRODUCTION OPERATION PROCEDURE
1	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA FISIKA	ENGINEERING-PHYSICAL ENGINEERING	TEKNIK INSTRUMENTASI DAN KONTROL	INSTRUMENTATION AND CONTROL TECHNIQUES
2	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA FISIKA	ENGINEERING-PHYSICAL ENGINEERING	AGROINDUSTRI	AGROINDUSTRY
3	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA FISIKA	ENGINEERING-PHYSICAL ENGINEERING	PEMANASAN, VENTILASI DAN PENYEJUK UDARA	HEATING, VENTILATION AND AIR CONDITIONING
4	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA FISIKA	ENGINEERING-PHYSICAL ENGINEERING	PENGEMASAN MATERIAL KHUSUS	SPECIFIC MATERIAL PACKAGING
5	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA GEOLOGI	ENGINEERING-GEOLOGICAL ENGINEERING	TEKNOLOGI GEOLOGI	GEOLOGICAL TECHNOLOGY
6	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA KELAUTAN	ENGINEERING-MARINE ENGINEERING	TEKNOLOGI REKAYASA KELAUTAN	MARINE ENGINEERING TECHNOLOGY
7	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA KELAUTAN	ENGINEERING-MARINE ENGINEERING	TEKNOLOGI KELAUTAN	MARINE TECHNOLOGY
8	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA KESELAMATAN	ENGINEERING-SAFETY ENGINEERING	REKAYASA KESELAMATAN DAN RESIKO	SAFETY AND RISK ENGINEERING
9	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA KESELAMATAN	ENGINEERING-SAFETY ENGINEERING	PEMADAMAN KEBAKARAN LAHAN	FIRE AND RESCUE SERVICES (VEGETATION)
10	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA KESELAMATAN	ENGINEERING-SAFETY ENGINEERING	TEKNOLOGI REKAYASA KESELAMATAN KEBAKARAN	FIRE SAFETY ENGINEERING TECHNOLOGY
11	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA KESELAMATAN	ENGINEERING-SAFETY ENGINEERING	PEMADAMAN KEBAKARAN HUTAN	FIRE AND RESCUE SERVICES (FOREST)
12	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA KESELAMATAN	ENGINEERING-SAFETY ENGINEERING	PEMADAMAN KEBAKARAN DAN LAYANAN PENYELAMATAN	FIRE AND RESCUE SERVICES
13	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA KESELAMATAN	ENGINEERING-SAFETY ENGINEERING	TEKNOLOGI REKAYASA KESELAMATAN KELAUTAN	MARINE SAFETY ENGINEERING TECHNOLOGY
14	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA KESELAMATAN	ENGINEERING-SAFETY ENGINEERING	TEKNOLOGI REKAYASA KESELAMATAN	SAFETY ENGINEERING TECHNOLOGY
15	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA KIMIA	ENGINEERING-CHEMICAL ENGINEERING	TEKNIK PENGOLAHAN MINYAK KELAPA SAWIT	PALM OIL PROCESSING TECHNIQUES
16	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA KIMIA	ENGINEERING-CHEMICAL ENGINEERING	PELAPISAN PELINDUNG	PROTECTIVE COATINGS
17	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA KIMIA	ENGINEERING-CHEMICAL ENGINEERING	PEMBUATAN PRODUK KACA	GLASS PRODUCT MAKING
18	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA KIMIA	ENGINEERING-CHEMICAL ENGINEERING	OPTIMASI REKAYASA KIMIA	CHEMICAL ENGINEERING OPTIMIZATION
19	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA KIMIA	ENGINEERING-CHEMICAL ENGINEERING	TEKNIK PENGILANGAN MINYAK DAN GAS	DIL AND GAS REFINING TECHNIQUES
20	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA KIMIA	ENGINEERING-CHEMICAL ENGINEERING	TEKNIK PEMBUATAN ALAT MEKANIK TANGAN	MECHANICAL HAND-TOOL MANUFACTURING TECHNIQUES
21	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA KIMIA	ENGINEERING-CHEMICAL ENGINEERING	TEKNIK PENGOLAHAN KELAPA SAWIT	PALM PROCESSING TECHNIQUES
22	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA KIMIA	ENGINEERING-CHEMICAL ENGINEERING	TEKNOLOGI REKAYASA KIMIA BERKELANJUTAN	SUSTAINABLE CHEMICAL ENGINEERING TECHNOLOGY
23	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA KIMIA	ENGINEERING-CHEMICAL ENGINEERING	TEKNOLOGI KIMIA	CHEMICAL TECHNOLOGY
24	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA KIMIA	ENGINEERING-CHEMICAL ENGINEERING	TEKNOLOGI REKAYASA BIOPROSES ENERGI TERBARUKAN	RENEWABLE ENERGY BIOPROCESS ENGINEERING TECHNOLOGY
25	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA KIMIA	ENGINEERING-CHEMICAL ENGINEERING	TEKNOLOGI REKAYASA KIMIA INDUSTRI	INDUSTRIAL CHEMICAL ENGINEERING TECHNOLOGY
26	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA KIMIA	ENGINEERING-CHEMICAL ENGINEERING	TEKNOLOGI REKAYASA BERSIH	CLEAN ENGINEERING TECHNOLOGY
27	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA KIMIA	ENGINEERING-CHEMICAL ENGINEERING	TEKNOLOGI MINERAL	MINERAL TECHNOLOGY
28	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA KIMIA	ENGINEERING-CHEMICAL ENGINEERING	TEKNOLOGI PULP DAN KERTAS	PULP AND PAPER TECHNOLOGY
29	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA KIMIA	ENGINEERING-CHEMICAL ENGINEERING	TEKNOLOGI PROSES INDUSTRI PETROKIMIA	PROCESS TECHNOLOGY IN PETROCHEMICAL INDUSTRY
30	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA KIMIA	ENGINEERING-CHEMICAL ENGINEERING	TEKNOLOGI PENGOLAHAN KELAPA SAWIT	PALM PROCESS TECHNOLOGY
31	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA KIMIA	ENGINEERING-CHEMICAL ENGINEERING	TEKNOLOGI PENGOLAHAN GULA	SUGAR PROCESS TECHNOLOGY
32	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA KIMIA	ENGINEERING-CHEMICAL ENGINEERING	TEKNIK PENGOLAHAN GULA	SUGAR PROCESSING TECHNIQUES
33	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA KIMIA	ENGINEERING-CHEMICAL ENGINEERING	TEKNIK PENGOLAHAN PULP DAN KERTAS	PULP AND PAPER PROCESSING TECHNIQUES
1	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA KIMIA	ENGINEERING-CHEMICAL ENGINEERING	TEKNOLOGI MANUFAKTUR INDUSTRI AGRO	AGROINDUSTRIAL MANUFACTURING TECHNOLOGY
2	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA KIMIA	ENGINEERING-CHEMICAL ENGINEERING	TEKNOLOGI PENGOLAHAN MINYAK DAN GAS	OIL AND GAS REFINING TECHNOLOGY
3	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA KIMIA	ENGINEERING-CHEMICAL ENGINEERING	TEKNOLOGI PENGOLAHAN MINYAK KELAPA SAWIT	PALM OM PROCESS TECHNOLOGY
4	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA KIMIA	ENGINEERING-CHEMICAL ENGINEERING	TEKNOLOGI REKAYASA KIMIA POLIMER	POLYMERIC CHEMISTRY ENGINEERING TECHNOLOGY
5	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA KOMPUTER	ENGINEERING-COMPUTER ENGINEERING	TEKNOLOGI REKAYASA JARINGAN	COMPUTER NETWORK ENGINEERING TECHNOLOGY
6	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA KOMPUTER	ENGINEERING-COMPUTER ENGINEERING	PENGUJIAN PERANGKAT LUNAK	SOFTWARE TESTING
7	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA KOMPUTER	ENGINEERING-COMPUTER ENGINEERING	ADMINISTRASI JARINGAN KOMPUTER	COMPUTER NETWORK ADMINISTRATION
8	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA KOMPUTER	ENGINEERING-COMPUTER ENGINEERING	TEKNOLOGI REKAYASA KOMPUTER	COMPUTER ENGINEERING TECHNOLOGY
9	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA KOMPUTER	ENGINEERING-COMPUTER ENGINEERING	TEKNOLOGI KOMPUTER	COMPUTER TECHNOLOGY
10	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA KOMPUTER	ENGINEERING-COMPUTER ENGINEERING	TEKNOLOGI REKAYASA INFORMATIKA INDUSTRI	INDUSTRIAL INFORMATICS ENGINEERING TECHNOLOGY
11	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA KOMPUTER	ENGINEERING-COMPUTER ENGINEERING	TEKNIK JARINGAN KOMPUTER	COMPUTER NETWORK TECHNIQUES
12	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA LINGKUNGAN	ENGINEERING-ENVIRONMENTAL ENGINEERING	TEKNOLOGI LINGKUNGAN	ENVIRONMENTAL TECHNOLOGY
13	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA LINGKUNGAN	ENGINEERING-ENVIRONMENTAL ENGINEERING	TEKNOLOGI REKAYASA PENGENDALIAN PENCEMARAN LINGKUNGAN	ENVIRONMENTAL POLLUTION CONTROL ENGINEERING TECHNOLOGY
14	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA (MASIH BISA MENGGUNAKAN KATA TEKNIK)	ENGINEERING-ENGINEERING	REKAYASA SIPIL	CIVIL ENGINEERING
15	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA (MASIH BISA MENGGUNAKAN KATA TEKNIK)	ENGINEERING-ENGINEERING	REKAYASA TENAGA LISTRIK	ELECTRICAL  POWER ENGINEERING
16	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA (MASIH BISA MENGGUNAKAN KATA TEKNIK)	ENGINEERING-ENGINEERING	REKAYASA SISTEM ENERGI	ENERGY SYSTEM ENGINEERING
17	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA (MASIH BISA MENGGUNAKAN KATA TEKNIK)	ENGINEERING-ENGINEERING	REKAYASA PERUMAHSAKITAN	HOSPITAL ENGINEERING
18	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA (MASIH BISA MENGGUNAKAN KATA TEKNIK)	ENGINEERING-ENGINEERING	REKAYASA TELEKOMUNIKASI	TELECOMMUNICATIONS ENGINEERING
19	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA (MASIH BISA MENGGUNAKAN KATA TEKNIK)	ENGINEERING-ENGINEERING	REKAYASA PERTANIAN	AGRICULTURAL ENGINEERING
20	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA (MASIH BISA MENGGUNAKAN KATA TEKNIK)	ENGINEERING-ENGINEERING	REKAYASA TEKSTIL	TEXTILE ENGINEERING
21	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA (MASIH BISA MENGGUNAKAN KATA TEKNIK)	ENGINEERING-ENGINEERING	REKAYASA PERTAMBANGAN	MINING ENGINEERING
22	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA (MASIH BISA MENGGUNAKAN KATA TEKNIK)	ENGINEERING-ENGINEERING	REKAYASA PERMINYAKAN	PETROLEUM ENGINEERING
23	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA (MASIH BISA MENGGUNAKAN KATA TEKNIK)	ENGINEERING-ENGINEERING	REKAYASA PERKERETAAPIAN	RAILWAY ENGINEERING
24	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA (MASIH BISA MENGGUNAKAN KATA TEKNIK)	ENGINEERING-ENGINEERING	REKAYASA SISTEM PERKAPALAN	MARINE ENGINEERING
25	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA (MASIH BISA MENGGUNAKAN KATA TEKNIK)	ENGINEERING-ENGINEERING	REKAYASA PERTANIAN DAN BIOSISTEM	AGRICULTURAL AND BIOSYSTEM ENGINEERING
26	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA (MASIH BISA MENGGUNAKAN KATA TEKNIK)	ENGINEERING-ENGINEERING	REKAYASA PERKAPALAN	NAVAL ARCHITECTURE ENGINEERING
27	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA (MASIH BISA MENGGUNAKAN KATA TEKNIK)	ENGINEERING-ENGINEERING	REKAYASA PENGINDERAAN JAUH	REMOTE SENSING ENGINEERING
1	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA (MASIH BISA MENGGUNAKAN KATA TEKNIK)	ENGINEERING-ENGINEERING	REKAYASA NUKLIR	NUCLEAR ENGINEERING
2	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA (MASIH BISA MENGGUNAKAN KATA TEKNIK)	ENGINEERING-ENGINEERING	REKAYASA METALURGI	METALLURGICAL ENGINEERING
3	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA (MASIH BISA MENGGUNAKAN KATA TEKNIK)	ENGINEERING-ENGINEERING	REKAYASA MESIN	MECHANICAL ENGINEERING
4	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA (MASIH BISA MENGGUNAKAN KATA TEKNIK)	ENGINEERING-ENGINEERING	REKAYASA MANUFAKTUR	MANUFACTURING ENGINEERING
5	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA (MASIH BISA MENGGUNAKAN KATA TEKNIK)	ENGINEERING-ENGINEERING	REKAYASA LOGISTIK	LOGISTIC ENGINEERING
6	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA (MASIH BISA MENGGUNAKAN KATA TEKNIK)	ENGINEERING-ENGINEERING	REKAYASA MEKATRONIKA	MECHATRONICS ENGINEERING
7	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA (MASIH BISA MENGGUNAKAN KATA TEKNIK)	ENGINEERING-ENGINEERING	REKAYASA HAYATI	BIOENGINEERING
8	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA (MASIH BISA MENGGUNAKAN KATA TEKNIK)	ENGINEERING-ENGINEERING	REKAYASA KOMPUTER	COMPUTER ENGINEERING
9	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA (MASIH BISA MENGGUNAKAN KATA TEKNIK)	ENGINEERING-ENGINEERING	REKAYASA MATERIAL DAN METALURGI	METALLURGICAL AND MATERIALS ENGINEERING
10	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA (MASIH BISA MENGGUNAKAN KATA TEKNIK)	ENGINEERING-ENGINEERING	REKAYASA LINGKUNGAN	ENVIRONMENTAL ENGINEERING
11	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA (MASIH BISA MENGGUNAKAN KATA TEKNIK)	ENGINEERING-ENGINEERING	REKAYASA INDUSTRI DAN MANAJEMEN	INDUSTRIAL ENGINEERING AND MANAGEMENT
12	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA (MASIH BISA MENGGUNAKAN KATA TEKNIK)	ENGINEERING-ENGINEERING	REKAYASA KOSMETIK	COSMETICS ENGINEERING
13	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA (MASIH BISA MENGGUNAKAN KATA TEKNIK)	ENGINEERING-ENGINEERING	REKAYASA GEOMATIKA	GEOMATICS ENGINEERING
14	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA (MASIH BISA MENGGUNAKAN KATA TEKNIK)	ENGINEERING-ENGINEERING	REKAYASA MATERIAL	MATERIALS ENGINEERING
15	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA (MASIH BISA MENGGUNAKAN KATA TEKNIK)	ENGINEERING-ENGINEERING	REKAYASA ENERGI TERBARUKAN	RENEWABLE ENERGY ENGINEERING
16	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA (MASIH BISA MENGGUNAKAN KATA TEKNIK)	ENGINEERING-ENGINEERING	REKAYASA INSTRUMENTASI DAN AUTOMASI	INSTRUMENTATION AND AUTOMATION ENGINEERING
17	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA (MASIH BISA MENGGUNAKAN KATA TEKNIK)	ENGINEERING-ENGINEERING	REKAYASA INDUSTRI PERTANIAN	AGRO-INDUSTRIAL ENGINEERING
18	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA (MASIH BISA MENGGUNAKAN KATA TEKNIK)	ENGINEERING-ENGINEERING	REKAYASA INDUSTRI	INDUSTRIAL ENGINEERING
19	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA (MASIH BISA MENGGUNAKAN KATA TEKNIK)	ENGINEERING-ENGINEERING	REKAYASA ELEKTRO	ELECTRICAL ENGINEERING
20	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA (MASIH BISA MENGGUNAKAN KATA TEKNIK)	ENGINEERING-ENGINEERING	REKAYASA TRANSPORTASI LAUT	MARINE TRANSPORT ENGINEERING
21	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA (MASIH BISA MENGGUNAKAN KATA TEKNIK)	ENGINEERING-ENGINEERING	REKAYASA TRANSPORTASI	TRANSPORTATION ENGINEERING
22	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA (MASIH BISA MENGGUNAKAN KATA TEKNIK)	ENGINEERING-ENGINEERING	REKAYASA BIOENERGI DAN KEMURGI	BIOENERGY ENGINEERING AND CHEMURGY
23	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA (MASIH BISA MENGGUNAKAN KATA TEKNIK)	ENGINEERING-ENGINEERING	PENDIDIKAN PROFESI INSINYUR	ENGINEER PROFESSION EDUCATION
1	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA (MASIH BISA MENGGUNAKAN KATA TEKNIK)	ENGINEERING-ENGINEERING	REKAYASA GEOLOGI	GEOLOGICAL ENGINEERING
2	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA (MASIH BISA MENGGUNAKAN KATA TEKNIK)	ENGINEERING-ENGINEERING	REKAYASA BIOMEDIS	BIOMEDICAL ENGINEERING
3	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA (MASIH BISA MENGGUNAKAN KATA TEKNIK)	ENGINEERING-ENGINEERING	MANAJEMEN REKAYASA	ENGINEERING MANAGEMENT
4	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA (MASIH BISA MENGGUNAKAN KATA TEKNIK)	ENGINEERING-ENGINEERING	REKAYASA DIRGANTARA	AEROSPACE ENGINEERING
5	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA (MASIH BISA MENGGUNAKAN KATA TEKNIK)	ENGINEERING-ENGINEERING	REKAYASA BIOSISTEM	BIOSYSTEM ENGINEERING
6	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA (MASIH BISA MENGGUNAKAN KATA TEKNIK)	ENGINEERING-ENGINEERING	REKAYASA BIOPROSES	BIOPROCESS ENGINEERING
7	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA (MASIH BISA MENGGUNAKAN KATA TEKNIK)	ENGINEERING-ENGINEERING	REKAYASA ENERGI PANAS BUMI	GEOTHERMAL ENERGY ENGINEERING
8	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA (MASIH BISA MENGGUNAKAN KATA TEKNIK)	ENGINEERING-ENGINEERING	REKAYASA GEODESI	GEODETIC ENGINEERING
9	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA (MASIH BISA MENGGUNAKAN KATA TEKNIK)	ENGINEERING-ENGINEERING	REKAYASA FISIKA	PHYSICS ENGINEERING
10	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	TEKNIK ATAU REKAYASA-REKAYASA (MASIH BISA MENGGUNAKAN KATA TEKNIK)	ENGINEERING-ENGINEERING	REKAYASA KESELAMATAN	SAFETY ENGINEERING
